"","1","3","4","7","8","13","26","30","34","38","42","45","55","61","63","69","90","91","99","101","103","105","112","115","117","127","131","134","136","142","157","161","163","236","238","245","268"
"1",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"3",0,NA,0,0,0,0,0,0.333333333333333,0.333333333333333,0.6,0.2,0,0.333333333333333,0,0,0,0,1,1,0,0.333333333333333,0,0,0,0,0,0,0.333333333333333,0.5,0,0.454545454545455,0,0,0,1,0,0
"4",0,0,NA,0,0,0,1,0,1,0,1,1,0.333333333333333,0,0,0.5,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.25,0,0,1,0,0,0
"7",0,0.0909090909090909,0.0526315789473684,NA,0.176470588235294,0.1,1,0,0,0.2,1,0,0.333333333333333,0,0,0.333333333333333,0,0.0909090909090909,0,0,0.333333333333333,0.266666666666667,1,0,0.263157894736842,0,0,1,0,0,0.333333333333333,0,0.0434782608695652,0,0,0.6,0
"8",0,0.181818181818182,0.142857142857143,0,NA,0,0,0,0,0,0,0,0.166666666666667,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.333333333333333,0,0.666666666666667,0,0.333333333333333
"13",0,0.142857142857143,0,0,0,NA,0,0.142857142857143,0,0.2,0.333333333333333,0.333333333333333,0,0,0,0.0980392156862745,0.125,0,1,0,0.5,0,0,0,0.5,0,0,0,0,0.0447761194029851,0,0.166666666666667,0.272727272727273,1,0,0,0.230769230769231
"26",0,0,0,0,1,0,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
"30",0,0,1,0.142857142857143,0.1,0,0,NA,1,0.333333333333333,0,0,1,1,0,0.142857142857143,0,0.111111111111111,0,0,1,0.142857142857143,0,0,0.5,0,0,0,0.25,0.285714285714286,1,0,0,0,1,0,0
"34",0,0,0,0.333333333333333,0,0,0,0,NA,0,1,1,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,1,0,1,0,0.5,1,0,1,1,0,1,1
"38",0,0,0,0,0,0,0,0,1,NA,1,1,0.333333333333333,0,0,0.333333333333333,1,0.2,0,0,0,0.161290322580645,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.4,0
"42",0,0,0,0,0.5,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"45",0,1,0,0,1,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"55",1,0,0,0,0,0.333333333333333,0,0,0,0,0,1,NA,0,0,0.2,0,0.333333333333333,0,0,0,0,0,1,0,1,0,1,0.2,0,0,1,0.666666666666667,0,1,0.5,0
