"","15","18","21","22","29","51","67","81","96","110","119","145","202","222","236","429","498"
"15",NA,0,0,1,0,0.230769230769231,0,0,1,0,0.333333333333333,0.666666666666667,0.2,0,1,1,0
"18",1,NA,1,0,0,0,1,0,0.0666666666666667,0.333333333333333,1,0.0204081632653061,0,0.6,0,1,0.0740740740740741
"21",0,0,NA,0,0,0,0,0,0,0,0,1,1,0,0,1,0
"22",0,0,1,NA,1,0,0,0,0.333333333333333,1,0,0,0,1,0.333333333333333,1,0.0526315789473684
"29",1,1,0,0,NA,1,0,0.25,0.333333333333333,0,0,0,1,0,1,0,0
"51",0,0,0.5,0.142857142857143,0,NA,0,0.00826446280991736,0.307692307692308,0,0,0,0.0099009900990099,0.2,0,0.666666666666667,0.029940119760479
"67",1,0,0,1,1,0.2,NA,0,0.2,0,0,0,0,0,0,1,0
"81",0.105263157894737,0.119047619047619,0.125,0.0204081632653061,0,0,0.105263157894737,NA,0.0656934306569343,0.291666666666667,0,0,0.0407407407407407,0,0.172413793103448,0.0612244897959184,0.0124777183600713
"96",0,0,0,0,0,0,0,0,NA,0.4,0,0,0,0,0.333333333333333,0,0
"110",0.333333333333333,0,1,0,0,0.306122448979592,1,0,0,NA,0,0,0.0714285714285714,0,0,0.333333333333333,0
"119",0,0,0,1,0,0.0588235294117647,1,0.153846153846154,0.142857142857143,0,NA,0.0526315789473684,0.333333333333333,1,0,0,0.384615384615385
"145",0,0,0,0.0909090909090909,0,0.142857142857143,0.428571428571429,0.104033970276008,0.015625,0.0303030303030303,0,NA,0.134615384615385,0,0.166666666666667,0.0769230769230769,0.045045045045045
"202",0,0.173913043478261,0,0.12,0,0,0.2,0,0.222222222222222,0,0,0,NA,0,0.142857142857143,0,0
"222",1,0,0,0,0,0,0,0.333333333333333,0.6,0,0,0.555555555555556,0,NA,0,1,0
"236",0,0.333333333333333,0,0,0,0.714285714285714,0,0,0,1,0.666666666666667,0,0,0,NA,0,0.272727272727273
"429",0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,NA,0
"498",0.6,0,0,0,1,0,0.333333333333333,0,0.121951219512195,0.2,0,0,0.00645161290322581,0.142857142857143,0,0.333333333333333,NA
