"","2","6","8","10","13","14","17","20","23","24","27","31","36","39","41","48","50","54","57","58","62","68","74","75","78","80","82","83","84","85","86","92","98","106","107","114","122","126","127","133","150","157","164","240","245","266","420","516"
"2",NA,0,1,0,1,0,0,0,0,3,0,0,2,0,1,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1
"6",1,NA,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
"8",0,0,NA,0,0,2,0,0,0,13,0,0,2,0,9,2,0,0,0,4,0,1,0,1,0,0,0,0,2,2,1,0,0,0,0,3,0,0,0,0,0,4,4,1,1,1,0,0
"10",0,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,1,0,0,NA,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,1,0
"14",1,1,0,0,2,NA,0,0,1,0,0,4,0,0,8,0,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,6,1,0,2,1,2
"17",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,NA,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,2,0,0,0,1,0,NA,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"24",0,0,0,0,1,2,0,0,0,NA,0,5,6,16,0,3,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,5,2,0,2,0,0,3,0,0,0,0,0,0,1,0,0,2
"27",4,1,15,0,6,10,0,0,0,3,NA,0,0,10,2,5,1,6,3,5,0,8,0,7,0,0,0,0,0,0,0,1,0,0,0,8,20,0,0,1,3,7,0,1,2,14,1,1
"31",0,0,3,0,5,0,0,0,0,0,2,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,2,1,0,0,1,1,0,1
"36",0,0,0,0,2,0,0,0,1,0,11,0,NA,0,0,4,0,0,1,4,0,0,0,3,1,0,0,0,0,0,1,6,3,1,0,0,9,1,1,0,0,2,0,2,0,0,0,3
"39",0,0,11,0,11,7,0,0,2,0,0,3,6,NA,0,2,7,0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,8,7,0,2,2,0,0,0,0,0,0,0,4
"41",0,1,0,0,0,0,0,1,2,8,0,0,6,0,NA,2,0,0,1,2,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1,5,0,0,0,0,0,0,2,1,0,0,0
"48",1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,NA,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"50",0,0,2,0,0,0,0,0,0,5,0,2,0,0,5,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,2,1,0,0,0,2
"54",0,0,1,0,0,1,0,0,0,0,0,0,2,3,1,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"57",0,2,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"58",0,2,0,0,0,0,0,0,0,2,0,1,0,13,0,0,0,3,0,NA,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,1,0,0,0,5,1,0
"62",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"68",0,0,0,0,0,1,1,0,0,0,0,0,4,0,2,0,3,0,0,2,0,NA,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0
"74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"75",0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,NA,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3,2,0,0,0,2,0,0
