"gameId","gameLength","queue","map","season","version","mode","type"
3201046460,"1877","420","11","11","8.9.228.4283","CLASSIC","MATCHED_GAME"
3223066557,"1655","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3165558719,"1797","420","11","11","8.7.223.9264","CLASSIC","MATCHED_GAME"
3210876866,"1093","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3221067721,"2322","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3214251988,"1436","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3193346004,"1277","420","11","11","8.9.227.7511","CLASSIC","MATCHED_GAME"
3205044184,"1408","420","11","11","8.9.228.4283","CLASSIC","MATCHED_GAME"
3209205723,"1743","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3179223003,"1984","420","11","11","8.8.225.6906","CLASSIC","MATCHED_GAME"
3225720797,"1412","420","11","11","8.11.231.7304","CLASSIC","MATCHED_GAME"
3205830621,"1006","420","11","11","8.9.228.4283","CLASSIC","MATCHED_GAME"
3209336800,"1249","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3219003367,"1265","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3183187945,"1472","420","11","11","8.8.225.6906","CLASSIC","MATCHED_GAME"
3219691499,"923","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3207108589,"2018","430","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3191740404,"1025","420","11","11","8.9.227.7511","CLASSIC","MATCHED_GAME"
3221067765,"1665","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3211925494,"1954","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3189577722,"953","420","11","11","8.8.226.7254","CLASSIC","MATCHED_GAME"
3217627135,"1023","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3213629449,"1622","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3212351509,"1482","450","12","11","8.10.229.7328","ARAM","MATCHED_GAME"
3204618262,"1588","420","11","11","8.9.228.4283","CLASSIC","MATCHED_GAME"
3205634072,"1502","420","11","11","8.9.228.4283","CLASSIC","MATCHED_GAME"
3210582041,"1661","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3212777498,"1118","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3215857693,"1464","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3208779813,"1579","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3213596714,"198","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3219757099,"1389","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3218610221,"1409","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3221198895,"2008","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3212777527,"1899","430","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3222116411,"1410","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3222935613,"1855","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3206092861,"2134","420","11","11","8.9.228.4283","CLASSIC","MATCHED_GAME"
3222313037,"2198","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3182434386,"1388","420","11","11","8.8.225.6906","CLASSIC","MATCHED_GAME"
3165395027,"921","420","11","11","8.7.223.9264","CLASSIC","MATCHED_GAME"
3217004628,"1347","450","12","11","8.10.229.7328","ARAM","MATCHED_GAME"
3223230548,"1208","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3200096340,"1302","440","11","11","8.9.228.4283","CLASSIC","MATCHED_GAME"
3173521499,"1532","420","11","11","8.7.223.9264","CLASSIC","MATCHED_GAME"
3219101789,"1145","900","11","11","8.10.229.7328","URF","MATCHED_GAME"
3162937437,"1289","1020","11","11","8.6.222.2149","ONEFORALL","MATCHED_GAME"
3204421727,"959","420","11","11","8.9.228.4283","CLASSIC","MATCHED_GAME"
3204323423,"1312","420","11","11","8.9.228.4283","CLASSIC","MATCHED_GAME"
3179288673,"1707","430","11","11","8.8.225.6906","CLASSIC","MATCHED_GAME"
3202226274,"1559","420","11","11","8.9.228.4283","CLASSIC","MATCHED_GAME"
3204585573,"925","420","11","11","8.9.228.4283","CLASSIC","MATCHED_GAME"
3207862376,"1614","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3192592488,"1558","420","11","11","8.9.227.7511","CLASSIC","MATCHED_GAME"
3178600557,"1456","420","11","11","8.8.225.6906","CLASSIC","MATCHED_GAME"
3169982575,"1382","420","11","11","8.7.223.9264","CLASSIC","MATCHED_GAME"
3205077105,"1791","420","11","11","8.9.228.4283","CLASSIC","MATCHED_GAME"
3224115320,"938","450","12","11","8.11.231.7304","ARAM","MATCHED_GAME"
3212646530,"904","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3202324611,"919","420","11","11","8.9.228.4283","CLASSIC","MATCHED_GAME"
3152746628,"1838","420","11","11","8.6.222.2149","CLASSIC","MATCHED_GAME"
3188398214,"1360","450","12","11","8.8.226.7254","ARAM","MATCHED_GAME"
3171063947,"1136","420","11","11","8.7.223.9264","CLASSIC","MATCHED_GAME"
3220773004,"1528","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3192658063,"2909","420","11","11","8.9.227.7511","CLASSIC","MATCHED_GAME"
3220117651,"916","440","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3202226324,"608","420","11","11","8.9.228.4283","CLASSIC","MATCHED_GAME"
3197999274,"1159","420","11","11","8.9.228.4283","CLASSIC","MATCHED_GAME"
3200030897,"927","420","11","11","8.9.228.4283","CLASSIC","MATCHED_GAME"
3223197874,"1532","430","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3213170865,"1001","450","12","11","8.10.229.7328","ARAM","MATCHED_GAME"
3208222900,"1186","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3216283836,"1525","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3216545984,"2090","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3224967360,"1106","420","11","11","8.11.231.7304","CLASSIC","MATCHED_GAME"
3221493962,"1626","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3212843212,"1276","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3215923404,"2447","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3176601806,"2411","430","11","11","8.7.223.9264","CLASSIC","MATCHED_GAME"
3204323533,"1869","420","11","11","8.9.228.4283","CLASSIC","MATCHED_GAME"
3204880593,"868","450","12","11","8.9.228.4283","ARAM","MATCHED_GAME"
3216316628,"1550","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3206944982,"1439","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
