result,c1,c2,c3,c4,c5
Win,Xayah,Sejuani,Braum,Fiora,Ryze
Win,Yasuo,Sona,Syndra,Renekton,Xayah
Win,Zoe,Annie,Malphite,Orianna,Zoe
Win,Xin Zhao,Caitlyn,Karma,Ryze,Skarner
Win,Yasuo,Caitlyn,Karma,Ryze,Skarner
Win,Zoe,Lucian,Ezreal,Jinx,Nocturne
Win,Singed,Talon,Xin Zhao,Leona,Master Yi
Win,Zoe,Gangplank,Veigar,Maokai,Ezreal
Win,Camille,Lulu,Shen,Kha'Zix,Malzahar
Win,Jhin,Soraka,Gnar,Kha'Zix,Janna
Win,Riven,Xin Zhao,Cassiopeia,Jhin,Janna
Win,Ezreal,Irelia,Camille,Gragas,Caitlyn
Win,Camille,Janna,Taliyah,Shen,Caitlyn
Win,Xayah,Rakan,Malzahar,Trundle,Xin Zhao
Win,LeBlanc,Janna,Jhin,Jax,Graves
Win,Vladimir,Lulu,Kog'Maw,Braum,Shaco
Win,Camille,Ezreal,Ryze,Thresh,Katarina
Win,Lee Sin,Janna,Jax,Ezreal,Thresh
Win,Renekton,Irelia,Lucian,Trundle,Cassiopeia
Win,Rengar,Ezreal,Morgana,Fiora,Talon
Win,Graves,Morgana,Rumble,Miss Fortune,Irelia
Win,Aurelion Sol,Camille,Morgana,Ezreal,Irelia
Win,Soraka,Kai'Sa,Trundle,Renekton,Vladimir
Win,Trundle,Yasuo,Alistar,Camille,Camille
Win,Jhin,Xin Zhao,Yasuo,Alistar,Dr. Mundo
Win,Camille,Lulu,Xayah,Morgana,Dr. Mundo
Win,Renekton,Rakan,Taliyah,Ezreal,Xayah
Win,Rumble,Gragas,Rakan,Yasuo,Xayah
Win,Vladimir,Lucian,Taliyah,Bard,Xerath
Win,Jax,Nami,Kai'Sa,Irelia,Fiora
Win,Ezreal,Morgana,Jarvan IV,Fizz,Fiora
Win,Lissandra,Alistar,Kha'Zix,Irelia,Trundle
Win,Kai'Sa,Mordekaiser,Camille,Zyra,Trundle
Win,Kai'Sa,Lulu,Sion,Talon,Irelia
Win,Fiddlesticks,Fizz,Ezreal,Camille,Irelia
Win,Soraka,Lucian,Xin Zhao,Singed,Zoe
Win,Rumble,Zilean,Xin Zhao,Miss Fortune,Zoe
Win,Lulu,Ezreal,Alistar,Rumble,Rakan
Win,Zoe,Ezreal,Gangplank,Xin Zhao,Rakan
Win,Hecarim,Katarina,Camille,Morgana,Ezreal
Win,Lulu,Kai'Sa,Sejuani,Fiora,Vladimir
Win,Vladimir,Ezreal,Xin Zhao,Talon,Camille
Win,Lucian,Morgana,Nunu,Karthus,Camille
Win,Irelia,Yasuo,Sejuani,Kai'Sa,Blitzcrank
Win,Vladimir,Skarner,Rakan,Draven,Irelia
Win,Darius,Veigar,Zac,Thresh,Morgana
Win,Kai'Sa,Camille,Taliyah,Xin Zhao,Tristana
Win,Pyke,Rumble,Karma,Nocturne,Tahm Kench
