result,c1,c2,c3,c4,c5
Win,Rakan,Alistar,Jhin,Cassiopeia,Kha'Zix
Win,Lulu,Ekko,Ezreal,Dr. Mundo,Graves
Win,Camille,Graves,Alistar,Ezreal,LeBlanc
Win,Camille,Gangplank,Graves,Vladimir,Karma
Win,Kog'Maw,Zoe,Trundle,Lulu,Darius
Win,Kog'Maw,Xin Zhao,Ezreal,Karma,Ryze
Win,Taliyah,Graves,Ornn,Rakan,Jhin
Win,Taliyah,Jax,Caitlyn,Master Yi,Jhin
Win,Zoe,Graves,Darius,Caitlyn,Irelia
Win,Janna,Rengar,Darius,Caitlyn,Rakan
Win,Kai'Sa,Renekton,Malzahar,Kha'Zix,Karma
Win,Kai'Sa,Renekton,Sejuani,Jax,Braum
Win,Malzahar,Morgana,Xin Zhao,Caitlyn,Shen
Win,Ezreal,Renekton,Taliyah,Nunu,Camille
Win,Ezreal,Renekton,Graves,Irelia,Trundle
Win,Rakan,Fizz,Kha'Zix,Dr. Mundo,Xayah
Win,Rakan,Fizz,Kha'Zix,Dr. Mundo,Xayah
Win,Aurelion Sol,Rakan,Ezreal,Shaco,Evelynn
Win,Ezreal,Braum,Lee Sin,Vladimir,Shen
Win,Ezreal,Braum,Kayle,Galio,Kai'Sa
Win,Graves,Leona,Miss Fortune,Trundle,Irelia
Win,Zoe,Kha'Zix,Bard,Jhin,Irelia
Win,Zoe,Dr. Mundo,Nidalee,Morgana,Caitlyn
Win,Olaf,Karma,Sivir,Morgana,Vladimir
Win,Olaf,Sion,Rakan,Xayah,Kha'Zix
Win,Braum,Camille,Kai'Sa,LeBlanc,Graves
Win,Lucian,Pyke,Karthus,Nunu,Swain
Win,Alistar,Camille,Vladimir,Jhin,Xin Zhao
Win,Olaf,Mordekaiser,Aatrox,Alistar,Kai'Sa
Win,Katarina,Ezreal,Nami,Xin Zhao,Illaoi
Win,Janna,Kha'Zix,Galio,Malphite,Vladimir
Win,Irelia,Skarner,Gragas,Jhin,Vladimir
Win,Shen,Cassiopeia,Xayah,Rakan,Vladimir
Win,Talon,Alistar,Malzahar,Mordekaiser,Vladimir
Win,Akali,Caitlyn,Morgana,Xin Zhao,Bard
Win,Ezreal,Katarina,Twitch,Camille,Pyke
Win,Kled,Darius,Nami,Anivia,Vayne
Win,Kled,Darius,Kennen,Lucian,Rakan
Win,Fizz,Camille,Kennen,Lucian,Nunu
Win,Thresh,Singed,Pyke,Zoe,Camille
Win,Evelynn,Ezreal,Pyke,Zoe,Camille
Win,Rakan,Bard,Twisted Fate,Dr. Mundo,Xayah
Win,Lee Sin,Bard,Twisted Fate,Dr. Mundo,Yasuo
Win,Rakan,Ziggs,Lucian,Lee Sin,Janna
Win,Lulu,Lucian,Graves,Irelia,Maokai
Win,Pyke,Renekton,Graves,Galio,Kai'Sa
Win,Pyke,Aatrox,Xayah,Evelynn,Ekko
Win,Singed,Kha'Zix,Jinx,Kassadin,Janna
Win,Singed,Irelia,Ezreal,Morgana,Graves
Win,Kennen,Lulu,Karma,Poppy,Lucian
Win,Xin Zhao,Vladimir,Nocturne,Zoe,Rakan
Win,Gangplank,Morgana,Sivir,Taliyah,Zac
Win,Camille,Vladimir,Tahm Kench,Karma,Xin Zhao
Win,Talon,Ezreal,Irelia,Karma,Xin Zhao
Win,Kai'Sa,Swain,Sejuani,Alistar,Caitlyn
Win,Pyke,Jayce,Graves,Fizz,Kog'Maw
Win,Ezreal,Dr. Mundo,Karma,Morgana,Nocturne
Win,Sion,Thresh,Kalista,Irelia,Graves
Win,Graves,Urgot,Katarina,Rakan,Kog'Maw
Win,Camille,Urgot,Ryze,Gragas,Renekton
Win,Graves,Ezreal,Fizz,Nidalee,Jax
Win,Twisted Fate,Lucian,Morgana,Renekton,Nocturne
Win,Graves,Gnar,Ryze,Caitlyn,Tahm Kench
Win,Graves,Gnar,Ezreal,Caitlyn,Vladimir
Win,Karma,Fizz,Zyra,Lee Sin,Kai'Sa
Win,Karma,Fizz,Zyra,Lee Sin,Jax
Win,Olaf,Fiddlesticks,Twisted Fate,Jhin,Lulu
Win,Akali,Leona,Poppy,Caitlyn,Pantheon
Win,Ezreal,Soraka,Azir,Illaoi,Graves
Win,Jhin,Tahm Kench,Jax,Zoe,Ezreal
Win,Bard,Fiddlesticks,Ekko,Jhin,Jayce
Win,Aurelion Sol,Fiddlesticks,Rengar,Xin Zhao,Ashe
Win,Zac,Kassadin,Gragas,Draven,Garen
Win,Camille,Morgana,Pantheon,Lucian,Taliyah
Win,Fizz,Xin Zhao,Thresh,Ezreal,Shen
Win,Kha'Zix,Ezreal,Xin Zhao,Singed,Talon
Win,Braum,Ezreal,Xin Zhao,Singed,Xayah
Win,Renekton,Ryze,Jax,Morgana,Karma
Win,Camille,Nautilus,Corki,Maokai,Ekko
Win,Irelia,Jax,Ezreal,Rakan,Dr. Mundo
Win,Talon,Jax,Ezreal,Morgana,Lulu
Win,Karma,Singed,Camille,Ezreal,Lulu
Win,Karma,Singed,Camille,Varus,Twisted Fate
Win,Taliyah,Jax,Leona,Rakan,Gangplank
Win,Taliyah,Jax,Quinn,Ahri,Vladimir
Win,Kha'Zix,Ezreal,Irelia,Tahm Kench,Vladimir
Win,Master Yi,Yasuo,Taric,Jayce,Soraka
Win,Lulu,Taliyah,LeBlanc,Alistar,Vayne
Win,Fiddlesticks,Singed,Camille,Jhin,Wukong
Win,Fiddlesticks,Singed,Camille,Jhin,Wukong
Win,LeBlanc,Leona,Xin Zhao,Zed,Kennen
Win,Nidalee,Kog'Maw,Nunu,Karma,Zilean
Win,Tahm Kench,Alistar,Yasuo,Dr. Mundo,Jarvan IV
Win,Ahri,Alistar,Yasuo,Dr. Mundo,Jarvan IV
Win,Ornn,Kai'Sa,Pyke,Graves,Malzahar
Win,Kha'Zix,Sivir,Trundle,Karma,Jax
Win,Vladimir,Sivir,Trundle,Karma,Jax
Win,Annie,Kha'Zix,Ryze,Rakan,Ezreal
Win,Irelia,Janna,Ryze,Rakan,Ezreal
Win,Tahm Kench,Varus,Ryze,Kha'Zix,Malphite
Win,Rakan,Sion,Camille,Malzahar,Dr. Mundo
Win,Kai'Sa,Trundle,Poppy,Malzahar,Dr. Mundo
Win,Kai'Sa,Rakan,Jarvan IV,Nidalee,Kog'Maw
Win,Ahri,Alistar,Gnar,Nidalee,Kog'Maw
Win,Vladimir,Kog'Maw,Lulu,Jax,Graves
Win,Thresh,Zoe,Ezreal,Ornn,Thresh
Win,Xin Zhao,Vladimir,Pantheon,Ornn,Thresh
Win,Graves,Darius,Alistar,Ezreal,Zoe
Win,Taliyah,Caitlyn,Alistar,Fiora,Morgana
Win,Ryze,Alistar,Xin Zhao,Dr. Mundo,Fizz
Win,Jhin,Bard,Mordekaiser,Camille,Ezreal
Win,Irelia,Bard,Mordekaiser,Camille,Ezreal
Win,Irelia,Rakan,Kai'Sa,Kennen,Nocturne
Win,LeBlanc,Dr. Mundo,Camille,Ashe,Miss Fortune
Win,LeBlanc,Dr. Mundo,Camille,Ashe,Miss Fortune
Win,Braum,Ezreal,Fizz,Kayn,Irelia
Win,LeBlanc,Kayn,Karma,Caitlyn,Poppy
Win,LeBlanc,Kayn,Karma,Caitlyn,Poppy
Win,Morgana,Caitlyn,Trundle,Nocturne,Taliyah
Win,Morgana,Caitlyn,Graves,Vladimir,Taliyah
Win,Morgana,Caitlyn,Graves,Vladimir,Jhin
Win,Karma,Irelia,Xin Zhao,Jax,Lucian
Win,Rakan,Jayce,Fizz,Nocturne,Camille
Win,Skarner,Vladimir,Soraka,Xayah,Ashe
Win,Aurelion Sol,Blitzcrank,Trundle,Camille,Jhin
Win,Aurelion Sol,Blitzcrank,Trundle,Camille,Kai'Sa
Win,Fiddlesticks,Camille,Rumble,Kennen,Draven
Win,Aatrox,Graves,Fizz,Nautilus,Lulu
Win,Morgana,Xin Zhao,Lulu,Xayah,Nunu
Win,Morgana,Xin Zhao,Ashe,Xayah,Nunu
Win,Kennen,Braum,Xin Zhao,Lucian,Twisted Fate
Win,Skarner,Zoe,Fiora,Dr. Mundo,Evelynn
Win,Caitlyn,Janna,Zoe,Dr. Mundo,Fizz
Win,Trundle,Nautilus,Kai'Sa,Singed,Fizz
Win,Xin Zhao,Zoe,Yasuo,Shen,Fiora
Win,Leona,Irelia,Fiora,Shen,Graves
Win,Kassadin,Rakan,Fiora,Olaf,Jhin
Win,Yasuo,Morgana,Kai'Sa,Ryze,Jax
Win,Zoe,Caitlyn,Tahm Kench,Irelia,Evelynn
Win,Gangplank,Nocturne,Fiddlesticks,Ashe,LeBlanc
Win,Lulu,Nocturne,Camille,LeBlanc,Cho'Gath
Win,Lulu,Morgana,Heimerdinger,Graves,Vladimir
Win,Nocturne,Lucian,Alistar,Irelia,Singed
Win,Trundle,Irelia,Taliyah,Lucian,Irelia
Win,Taliyah,Aatrox,Twisted Fate,Xin Zhao,Jhin
Win,Graves,Singed,Zoe,Soraka,Lucian
Win,Nami,Orianna,Darius,Camille,Kai'Sa
Win,Pyke,Orianna,Darius,Singed,Zac
Win,Fizz,Caitlyn,Morgana,Jayce,Braum
Win,Zoe,Caitlyn,Fiora,Dr. Mundo,Braum
Win,Xayah,Talon,Shen,Rumble,Graves
Win,Xayah,Talon,Shen,Rumble,Graves
Win,Ezreal,Karma,Karthus,Xin Zhao,Dr. Mundo
Win,Ryze,Kha'Zix,Jayce,Ezreal,Rakan
Win,Ezreal,Camille,Jax,Xerath,Soraka
Win,Ezreal,Talon,Xin Zhao,Fiddlesticks,Fiora
Win,Ezreal,Talon,Renekton,Alistar,Galio
Win,Tristana,Graves,Kai'Sa,Alistar,Renekton
Win,Kennen,Xin Zhao,Morgana,Jax,Skarner
Win,Fizz,Kog'Maw,Ryze,Kai'Sa,Jax
Win,Leona,Kha'Zix,Vladimir,Rek'Sai,Rakan
Win,LeBlanc,Camille,Gangplank,Ezreal,Thresh
Win,Kayn,Ezreal,Singed,Braum,Twisted Fate
Win,Jhin,Yasuo,Cassiopeia,Brand,Camille
Win,Jhin,Yasuo,Braum,Renekton,Nocturne
Win,Ryze,Varus,Dr. Mundo,Camille,Lucian
Win,Ezreal,Soraka,Dr. Mundo,Xin Zhao,Malzahar
Win,Olaf,Caitlyn,Vel'Koz,Cassiopeia,Irelia
Win,Olaf,Caitlyn,Rakan,Karma,Graves
Win,Singed,Ezreal,Camille,Miss Fortune,Tahm Kench
Win,Xin Zhao,Ryze,Ekko,Jhin,Fiddlesticks
Win,Ezreal,Blitzcrank,Xin Zhao,Twisted Fate,Camille
Win,Garen,Janna,Graves,Caitlyn,Karma
Win,Garen,Zed,Jarvan IV,Kai'Sa,Karma
Win,Lulu,Kalista,Thresh,Singed,Ornn
Win,Ryze,Xin Zhao,Sivir,Rakan,Ornn
Win,Jhin,Singed,Rakan,Irelia,Jarvan IV
Win,Irelia,Graves,Gangplank,Ezreal,Thresh
Win,Camille,Graves,Alistar,Mordekaiser,Ezreal
Win,Rakan,Graves,Xayah,Irelia,Yasuo
Win,Pyke,Lucian,Swain,Morgana,Sivir
Win,Lee Sin,Irelia,Sona,Ivern,Skarner
Win,Varus,Malzahar,Thresh,Draven,Zoe
Win,Malphite,Twisted Fate,Graves,Ezreal,Camille
Win,Janna,Taliyah,Lucian,Irelia,Jax
Win,Janna,Taliyah,Ezreal,Ryze,Taliyah
Win,Alistar,Jayce,Taliyah,Irelia,Ezreal
Win,Pantheon,Vayne,Lee Sin,Janna,Zoe
Win,Pantheon,Kog'Maw,Lulu,Trundle,Gnar
Win,Zoe,Gangplank,Sion,Kai'Sa,Rakan
Win,Trundle,Rumble,Lulu,Kog'Maw,Jayce
Win,Trundle,Yasuo,Nautilus,Mordekaiser,Vladimir
Win,Rek'Sai,Janna,Talon,Lucian,Kennen
Win,Aurelion Sol,Ezreal,Karma,Olaf,Darius
Win,Kled,Braum,Yasuo,Kai'Sa,Graves
Win,Kled,Gangplank,Kai'Sa,Graves,Ekko
Win,Karma,Singed,Fiddlesticks,Alistar,Ezreal
Win,Zoe,Rengar,Xin Zhao,Yasuo,Tristana
Win,Fiddlesticks,Nidalee,Lucian,Lissandra,Renekton
Win,Fiddlesticks,Jax,Camille,Karma,Xayah
Win,Lucian,Ekko,Soraka,Gangplank,Trundle
Win,Graves,Fiora,Karma,Tahm Kench,Varus
Win,Fiora,Lulu,Lucian,Pyke,Kindred
Win,Morgana,Graves,Singed,Tristana,Kassadin
Win,Rakan,Karthus,Nidalee,Ezreal,Jax
Win,Rakan,Janna,Twisted Fate,Elise,Jax
Win,Vladimir,Jhin,Pyke,Malzahar,Skarner
Win,Vel'Koz,Alistar,Nidalee,Wukong,Zilean
Win,Gangplank,Ezreal,Evelynn,Wukong,Zilean
Win,Rakan,Nocturne,Lucian,Jhin,Ryze
Win,Olaf,Fiddlesticks,Zoe,Caitlyn,Nasus
Win,Kai'Sa,Nocturne,Soraka,Irelia,Zac
Win,Dr. Mundo,Miss Fortune,Soraka,Irelia,Zac
Win,Rakan,Singed,Jhin,Xin Zhao,Irelia
Win,Graves,Tahm Kench,Nasus,Ezreal,LeBlanc
Win,Talon,Kalista,Lulu,Xin Zhao,Irelia
Win,Varus,Tahm Kench,Master Yi,Janna,Ahri
Win,Miss Fortune,Syndra,Nidalee,Lulu,Dr. Mundo
Win,Xayah,Jayce,Thresh,Camille,Xin Zhao
Win,Xayah,Aurelion Sol,Rakan,Camille,Xin Zhao
Win,Camille,Zoe,Shen,Ezreal,Taliyah
Win,Veigar,Alistar,Kled,Ezreal,Skarner
Win,Nidalee,Ezreal,Talon,Ornn,Pyke
Win,Malzahar,Rek'Sai,Yasuo,Lucian,Pyke
Win,Zoe,Tahm Kench,Master Yi,Varus,Xin Zhao
Win,Taliyah,Fiddlesticks,Camille,Miss Fortune,Trundle
Win,Singed,Taliyah,Jhin,Tahm Kench,Gangplank
Win,Evelynn,Fiddlesticks,Yasuo,Lucian,LeBlanc
Win,Xin Zhao,Kalista,Vladimir,Blitzcrank,LeBlanc
Win,Graves,Talon,Ezreal,Singed,Morgana
Win,Graves,Talon,Ekko,Caitlyn,Morgana
Win,Irelia,Lissandra,Thresh,Lucian,Rek'Sai
Win,Irelia,Lucian,Thresh,Lucian,Rek'Sai
Win,Thresh,Kalista,Ryze,Alistar,Sivir
Win,Xin Zhao,Riven,Ryze,Alistar,Sivir
Win,Aurelion Sol,Taliyah,Camille,Jhin,Shen
Win,Nautilus,Zoe,Ryze,Irelia,Kayn
Win,Ezreal,Lulu,Dr. Mundo,Nocturne,Cassiopeia
Win,Irelia,Kai'Sa,Camille,Morgana,Garen
Win,Jayce,Kayle,Annie,Xayah,Kha'Zix
Win,Singed,Blitzcrank,Irelia,Shen,Cassiopeia
Win,Graves,Sejuani,Xayah,Thresh,Lissandra
Win,Gangplank,Sejuani,Xayah,Thresh,Lissandra
Win,Gangplank,Alistar,Jax,Elise,Yasuo
Win,Jhin,Vladimir,Irelia,Thresh,Rek'Sai
Win,Sion,Rengar,Ryze,Ezreal,Janna
Win,Nami,Kog'Maw,Darius,Kha'Zix,Vladimir
Win,Xerath,Graves,Rakan,Xayah,Vladimir
Win,Dr. Mundo,Zilean,Rek'Sai,Ezreal,Alistar
Win,Dr. Mundo,Zilean,Orianna,Xin Zhao,Ezreal
Win,Nami,Irelia,Lee Sin,Urgot,Karma
Win,Irelia,Lucian,Olaf,Irelia,Alistar
Win,Tahm Kench,Warwick,Gangplank,Talon,Ezreal
Win,Cassiopeia,Nocturne,Fiddlesticks,Irelia,Jax
Win,Shen,Jayce,Varus,Galio,Olaf
Win,Trundle,Lulu,Morgana,Dr. Mundo,Riven
Win,Taliyah,Olaf,Xayah,Rakan,Riven
Win,Jhin,Graves,LeBlanc,Soraka,Camille
Win,Swain,Draven,Lulu,Warwick,Tristana
Win,Rumble,Kalista,Rek'Sai,Cassiopeia,Alistar
Win,Rumble,Kalista,Soraka,Irelia,Nautilus
Win,Kai'Sa,Vladimir,Olaf,Fizz,Rakan
Win,Kennen,Ezreal,Lee Sin,Fizz,Rakan
Win,Yasuo,Irelia,Pyke,Trundle,Kog'Maw
Win,Rek'Sai,Renekton,Zoe,Thresh,Xayah
Win,Karthus,Renekton,Zoe,Thresh,Tristana
Win,Janna,Lulu,Kog'Maw,Graves,Urgot
Win,Janna,Kennen,Rakan,Caitlyn,Lee Sin
Win,Ashe,Azir,Graves,Dr. Mundo,Bard
Win,Karthus,Kha'Zix,Kai'Sa,Jayce,Tahm Kench
Win,Kog'Maw,Graves,Yasuo,Lulu,Soraka
Win,Tryndamere,Ekko,Vladimir,Xayah,Thresh
Win,Vayne,Xin Zhao,Irelia,Alistar,Karma
Win,Graves,Nasus,Veigar,Fizz,Lucian
Win,Camille,Zoe,Tahm Kench,Fizz,Rengar
Win,Varus,Soraka,Shen,Jax,Fizz
Win,Aatrox,Alistar,Xin Zhao,Vladimir,Ezreal
Win,Aatrox,Xayah,Lucian,Ahri,Singed
Win,Ahri,Jax,Xin Zhao,Bard,Sion
Win,Karthus,Skarner,Fiddlesticks,Kai'Sa,Vladimir
Win,Nidalee,Ornn,Fiddlesticks,Kai'Sa,Vladimir
Win,Karma,Lulu,Ezreal,Jax,Camille
Win,Jax,Aatrox,Dr. Mundo,Shen,Camille
Win,Lulu,Xayah,Dr. Mundo,Shen,Camille
Win,Ezreal,Xin Zhao,Karthus,Jax,Morgana
Win,Caitlyn,Graves,Graves,Rumble,Tahm Kench
Win,Karma,Varus,Graves,Rumble,Tahm Kench
Win,Karma,Kassadin,Morgana,Lee Sin,Kayle
Win,Tristana,Lissandra,Xin Zhao,Lulu,Draven
Win,Singed,Lulu,Pyke,Kalista,Graves
Win,Dr. Mundo,Lulu,Pyke,Kalista,Graves
Win,Yasuo,Ezreal,Graves,Blitzcrank,Singed
Win,Alistar,Caitlyn,Rumble,Kha'Zix,Ryze
Win,Alistar,Caitlyn,Rumble,Kha'Zix,Ryze
Win,Rakan,Xayah,Lulu,Dr. Mundo,Trundle
Win,Morgana,Ezreal,Lee Sin,Karma,Irelia
Win,Pyke,Camille,Fizz,Poppy,Sivir
Win,Soraka,Ezreal,Singed,Xin Zhao,Ryze
Win,Ezreal,Fizz,Nami,Evelynn,Ezreal
Win,Cassiopeia,Tahm Kench,Rengar,Yasuo,Jhin
Win,Olaf,Irelia,Ezreal,Thresh,Darius
Win,Kayn,Irelia,Ezreal,Poppy,Ezreal
Win,Lee Sin,Lulu,Fizz,Jhin,Graves
Win,Morgana,Camille,Zoe,Jhin,Rakan
Win,Trundle,Camille,Zoe,Jhin,Rakan
Win,Shen,Ezreal,Fizz,Fiora,Graves
Win,Zyra,Singed,Xin Zhao,Alistar,Cassiopeia
Win,Sivir,Singed,Xin Zhao,Alistar,Cassiopeia
Win,Zoe,Soraka,Lee Sin,Ezreal,Irelia
Win,Veigar,Ezreal,Master Yi,Taric,Gangplank
Win,Rakan,Veigar,Karthus,Graves,Sion
Win,Rakan,Veigar,Karthus,Graves,Sion
Win,Xin Zhao,Kai'Sa,Lissandra,Nasus,Nami
Win,Irelia,Alistar,Skarner,Singed,Kalista
Win,Alistar,Ezreal,Lissandra,Gangplank,Graves
Win,Master Yi,Thresh,Malzahar,Caitlyn,Singed
Win,Rakan,Graves,Irelia,Singed,Jhin
Win,Poppy,Nunu,Irelia,Singed,Jhin
Win,Lee Sin,Morgana,Alistar,Gangplank,Ezreal
Win,Camille,Lissandra,Brand,Caitlyn,Ziggs
Win,Talon,Lee Sin,Shen,Jhin,Vladimir
Win,Taric,Jax,Twisted Fate,Camille,Kog'Maw
Win,Bard,Kog'Maw,Jarvan IV,Camille,Yasuo
Win,Vladimir,Alistar,Yasuo,Urgot,Skarner
Win,Ryze,Lulu,Kha'Zix,Urgot,Skarner
Win,Ezreal,Dr. Mundo,Zoe,Kindred,Tahm Kench
Win,Ezreal,Trundle,Ornn,Braum,Vladimir
Win,Thresh,Jhin,Ezreal,Irelia,Singed
Win,Nidalee,Singed,Kai'Sa,Talon,Thresh
Win,Kassadin,Malzahar,Kayn,Janna,Kai'Sa
Win,Ezreal,Katarina,Singed,Camille,Fiddlesticks
Win,Yasuo,Jhin,Singed,Morgana,Xin Zhao
Win,Nocturne,Rakan,Xayah,Dr. Mundo,Malzahar
Win,Jhin,Renekton,Janna,Sion,Xin Zhao
Win,Nidalee,Lucian,Irelia,Karthus,Pyke
Win,Ryze,Graves,Dr. Mundo,Kai'Sa,Thresh
Win,Singed,Nidalee,Rakan,Xayah,Thresh
Win,Singed,Nidalee,Rakan,Xayah,Jax
Win,Gnar,Xerath,Jinx,Jhin,Braum
Win,Pyke,Master Yi,Singed,Jax,Tahm Kench
Win,Zac,Caitlyn,Anivia,Jayce,Ekko
Win,Graves,Alistar,Yasuo,Dr. Mundo,Kai'Sa
Win,Graves,Alistar,Yasuo,Xin Zhao,Kennen
Win,Pyke,Shen,Ezreal,Graves,Zoe
Win,Yasuo,Alistar,Ezreal,Kha'Zix,Camille
Win,Jhin,LeBlanc,Pyke,Sejuani,Aatrox
Win,Jhin,LeBlanc,Pyke,Ryze,Kha'Zix
Win,Alistar,Twisted Fate,Caitlyn,Aatrox,Alistar
Win,Nidalee,Talon,Lucian,Karthus,Ezreal
Win,Alistar,Aatrox,Rek'Sai,Karthus,Ezreal
Win,Alistar,Xin Zhao,Kai'Sa,Kayle,Braum
Win,Twisted Fate,Camille,Ezreal,Skarner,Morgana
Win,Gangplank,Dr. Mundo,Ezreal,Nami,Karma
Win,Vladimir,Xin Zhao,Ezreal,Nami,Lux
Win,Ryze,Lucian,Xin Zhao,Camille,Nautilus
Win,Camille,Rakan,Xayah,Poppy,Ryze
Win,Ezreal,Rakan,Twisted Fate,Morgana,Gangplank
Win,Karma,Dr. Mundo,Kai'Sa,Lulu,Taliyah
Win,Nidalee,Soraka,Ezreal,LeBlanc,Gangplank
Win,Xayah,Rakan,Ornn,Xin Zhao,LeBlanc
Win,Alistar,Camille,Graves,Vladimir,Ezreal
Win,Trundle,LeBlanc,Ornn,Kai'Sa,Thresh
Win,Karma,Ezreal,Xin Zhao,Yasuo,Talon
Win,Miss Fortune,Pantheon,Fiddlesticks,Xin Zhao,Gangplank
Win,Cho'Gath,Corki,Lucian,Sivir,Cassiopeia
Win,Aatrox,Draven,Alistar,Nidalee,Lulu
Win,Vel'Koz,Fiora,Caitlyn,Zac,Galio
Win,Rek'Sai,Vayne,Singed,Karma,Ryze
Win,Gangplank,Vladimir,Tahm Kench,Lucian,Karma
Win,Singed,Camille,Tahm Kench,Lucian,Karma
Win,Trundle,Yasuo,Irelia,Xin Zhao,Xayah
Win,Cho'Gath,Janna,Irelia,Xin Zhao,Xayah
Win,Vladimir,Fizz,Vladimir,Xin Zhao,Zoe
Win,Soraka,Lucian,Malzahar,Rek'Sai,Dr. Mundo
Win,Morgana,Caitlyn,Malzahar,Rek'Sai,Dr. Mundo
Win,Irelia,Skarner,Kai'Sa,Nautilus,Renekton
Win,Ezreal,Nidalee,Bard,Vladimir,Fizz
Win,Dr. Mundo,Ezreal,Morgana,Ezreal,Camille
Win,Talon,Bard,Jax,Singed,Graves
Win,Karma,Kled,LeBlanc,Ezreal,Taliyah
Win,Amumu,Gragas,Kog'Maw,Camille,Thresh
Win,Singed,Ryze,Kog'Maw,Camille,Thresh
Win,Kai'Sa,Singed,Graves,Katarina,Miss Fortune
Win,Lee Sin,Zilean,LeBlanc,Ezreal,Jax
Win,Lee Sin,Ezreal,Karma,Camille,Ezreal
Win,Kha'Zix,LeBlanc,Karma,Camille,Ezreal
Win,Mordekaiser,Olaf,Ezreal,Dr. Mundo,Gragas
Win,Kassadin,Graves,Fiora,Talon,Kindred
Win,Kai'Sa,Rakan,Nautilus,Graves,Shen
Win,Swain,Lucian,Sivir,Soraka,Shen
Win,Jax,Irelia,Lucian,Gragas,Soraka
Win,Ryze,Camille,Alistar,Jhin,Talon
Win,Ryze,Camille,Alistar,Ezreal,Irelia
Win,Nami,Rek'Sai,Gangplank,Nidalee,Kai'Sa
Win,LeBlanc,Darius,Karma,Kha'Zix,Ezreal
Win,LeBlanc,Darius,Karma,Vladimir,Jhin
Win,Camille,Zoe,Xin Zhao,Janna,Ezreal
Win,Camille,Zoe,Xin Zhao,Rakan,Kai'Sa
Win,Xayah,Rakan,Vladimir,Kha'Zix,Irelia
Win,Xayah,Rakan,Vladimir,Karma,Singed
Win,Talon,Fiora,Thresh,Xayah,Nidalee
Win,Talon,Fiora,Thresh,Ezreal,Camille
Win,Gnar,Alistar,Malzahar,Singed,Pyke
Win,Vladimir,Xin Zhao,Rakan,Xayah,Cassiopeia
Win,Lissandra,Poppy,Yasuo,Alistar,Pantheon
Win,Lissandra,Poppy,Yasuo,Rakan,Aurelion Sol
Win,Xin Zhao,Xayah,Xin Zhao,Fiora,Alistar
Win,Xin Zhao,Xayah,Xin Zhao,Fiora,Alistar
Win,Camille,Morgana,Kog'Maw,Lulu,Vladimir
Win,Jax,Xin Zhao,Kog'Maw,Lulu,Vladimir
Win,Kha'Zix,Kai'Sa,Renekton,Zoe,Soraka
Win,Braum,Kog'Maw,Kha'Zix,Kha'Zix,Fizz
Win,Taliyah,Singed,Irelia,Rakan,Lucian
Win,Ezreal,Alistar,Irelia,Singed,Sejuani
Win,Kai'Sa,Taliyah,Kha'Zix,Soraka,Lulu
Win,Camille,Xayah,Braum,Galio,Camille
Win,Kai'Sa,Darius,Caitlyn,Malzahar,Graves
Win,Fiora,Morgana,Fiddlesticks,Graves,Irelia
Win,Taliyah,Ezreal,Fiddlesticks,Renekton,Caitlyn
Win,Rengar,Katarina,Lissandra,Lucian,Fiddlesticks
Win,Singed,Dr. Mundo,Darius,Camille,Draven
Win,Singed,Dr. Mundo,Camille,Irelia,Rek'Sai
Win,Jax,Ezreal,Ezreal,Ryze,Lee Sin
Win,Twisted Fate,Irelia,Alistar,Kai'Sa,Xin Zhao
Win,Twisted Fate,Twisted Fate,Graves,Irelia,Soraka
Win,Taliyah,Thresh,Kai'Sa,Xin Zhao,Gangplank
Win,Taliyah,Ezreal,Annie,Fiddlesticks,Yasuo
Win,Zilean,Nidalee,Jax,Dr. Mundo,Ezreal
Win,Tahm Kench,Xin Zhao,Master Yi,Fiora,Xayah
Win,Kog'Maw,Rek'Sai,Singed,Talon,Lulu
Win,Kog'Maw,Rek'Sai,Singed,Talon,LeBlanc
Win,Kled,Jinx,Lissandra,Pyke,Darius
Win,Alistar,Lucian,Camille,Lulu,Kennen
Win,Blitzcrank,LeBlanc,Lucian,Ornn,Nocturne
Win,Lulu,Tahm Kench,Urgot,Graves,Shen
Win,Kog'Maw,Ahri,Singed,Camille,Leona
Win,Kai'Sa,Hecarim,Irelia,Lee Sin,Karma
Win,Zoe,Vladimir,Rakan,Ezreal,Lee Sin
Win,Orianna,Kha'Zix,Xayah,Rakan,Camille
Win,Vladimir,Kog'Maw,Kled,Camille,Alistar
Win,Ahri,Pyke,Master Yi,Soraka,Xin Zhao
Win,Renekton,Kog'Maw,Fizz,Soraka,Xin Zhao
Win,Janna,Darius,Kassadin,Morgana,Lulu
Win,Nidalee,Dr. Mundo,Kai'Sa,Morgana,Lulu
Win,Kha'Zix,Talon,Jhin,Alistar,Ornn
Win,Kha'Zix,Talon,Singed,Syndra,Lucian
Win,Braum,Jhin,Gangplank,Zoe,Camille
Win,Ornn,Sejuani,Thresh,Fizz,Lucian
Win,Ornn,Sejuani,Thresh,Rek'Sai,Jayce
Win,Varus,Singed,Braum,Ezreal,Vayne
Win,Zoe,Camille,Swain,Jhin,Kha'Zix
Win,Garen,Xayah,Zoe,Graves,Alistar
Win,Irelia,Vladimir,Nidalee,Kai'Sa,Bard
Win,Vladimir,Caitlyn,Braum,Vel'Koz,Graves
Win,Kai'Sa,Ivern,Lulu,Swain,Ornn
