"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","48","50","51","53","54","55","56","57","58","59","60","61","62","63","64","67","68","69","72","74","75","76","77","78","79","80","81","82","83","84","85","86","89","90","91","92","96","98","99","101","102","103","104","105","106","107","110","111","112","113","114","115","117","119","120","121","122","126","127","131","133","134","136","141","142","143","145","150","154","157","161","163","164","201","202","203","222","223","236","238","240","245","254","266","267","268","412","420","421","427","429","432","497","498","516","555"
"1",NA,-1,0,0,-3,0,0,-1,0,0,0,-1,0,-1,0,-2,0,0,0,0,0,-1,0,-2,-1,-1,-1,0,0,0,0,0,0,0,-1,1,0,0,2,1,-1,0,2,0,0,-1,0,0,-1,0,-1,0,0,0,0,0,0,0,0,1,1,-1,0,-1,0,0,0,0,-1,1,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,-2,-1,-2,-1,-1,0,0,0,0,1,-2,1,-2,0,0,0,0,0,0,1,0,-1,1,0,0,0,0,0,0,0,-2,-1,1,0
"2",1,NA,-3,0,2,0,-3,11,1,0,-1,-5,3,-4,2,0,1,-1,0,1,2,2,-3,1,-2,1,-9,5,1,-1,2,0,-1,4,-1,8,0,4,12,-3,4,2,9,-3,4,0,1,10,3,2,1,5,-1,3,1,2,-1,0,2,9,1,3,-5,9,0,3,-6,-1,-1,1,-1,-1,-1,1,-1,-3,2,0,1,0,0,6,7,1,-3,-1,1,-1,6,0,-3,3,-3,-2,7,8,0,7,1,0,0,-3,-1,-4,0,1,3,-5,-3,7,1,-4,4,-3,9,-2,-5,-8,9,0,0,-3,13,4,-1,2,0,0,0,-1,0,6,1,1,3,4,2,-10,2,-3,4
"3",0,3,NA,0,-2,1,0,-10,-1,0,1,2,-2,3,-1,-6,0,0,-1,0,1,-1,-1,3,-4,1,-6,-1,0,1,-1,0,0,1,2,2,0,3,-4,-1,4,1,1,0,-1,0,2,-2,0,-1,2,-1,1,0,-2,0,-1,0,0,-1,2,0,-4,-2,0,2,1,0,-1,0,1,-1,0,0,0,1,-2,0,0,5,1,2,-1,1,0,1,1,-5,-4,0,0,-1,-1,0,1,-5,0,0,2,0,-5,3,0,1,0,0,1,2,1,-7,0,-7,-2,2,1,0,-1,-3,4,-3,0,1,-6,-2,1,0,-1,0,0,2,0,0,-3,-1,0,1,0,0,1,2,0
"4",0,0,0,NA,-9,3,-1,-4,4,0,0,5,1,1,-2,0,0,-4,0,0,1,2,1,-5,-6,2,-6,-1,0,-2,-5,0,0,2,1,0,0,0,0,3,3,2,1,0,1,1,1,-3,1,1,1,0,-1,-3,-1,0,0,0,0,4,-1,1,2,-1,0,0,3,0,1,-1,-2,-4,0,0,0,-4,0,-1,-1,-5,0,0,1,0,0,-1,0,-9,0,1,1,1,0,-1,2,-3,-1,-1,1,-1,3,2,2,0,0,0,-1,-1,1,-5,-1,-8,-2,3,1,-1,-2,-4,-6,10,3,-4,-2,1,0,0,-2,0,3,-2,0,-1,-1,-4,2,2,1,-3,-1,2,-1
"5",3,-2,2,9,NA,-3,3,25,1,0,5,13,15,3,5,16,2,-2,0,0,0,5,1,19,1,-1,15,11,-1,-5,10,-1,0,6,2,5,0,13,-1,22,12,-1,22,-1,0,15,12,31,5,4,3,-10,1,10,-1,-1,0,-1,2,34,18,4,-3,-1,1,2,9,-2,-3,2,6,64,-1,-1,0,5,0,-4,5,10,0,20,9,3,0,0,-2,26,3,0,1,6,-8,-1,5,6,-1,3,3,0,7,15,2,2,1,0,3,4,7,-5,-4,-29,5,2,26,0,18,16,8,15,2,-8,33,11,0,-1,12,1,2,1,3,9,0,11,-1,0,3,28,15,19,1
"6",0,0,-1,-3,3,NA,-4,-2,2,0,0,1,4,0,0,0,0,-2,0,-1,0,0,0,0,-4,0,0,0,0,-2,1,0,0,0,-1,-1,0,0,1,2,2,0,5,-1,0,-1,0,-1,0,0,0,1,-2,-1,-1,0,0,0,0,-2,0,-1,0,-4,0,-1,-1,0,1,0,-1,4,0,0,0,1,0,-1,2,3,-1,0,0,1,-1,0,-2,1,2,0,0,0,0,1,1,1,-1,-2,-1,0,1,-1,-1,-1,0,0,0,-1,1,-3,-1,-2,0,0,-2,0,-3,-3,2,-2,1,0,-1,0,0,-1,-1,0,-1,1,0,-1,0,0,0,0,1,-6,-1,2,0
"7",0,3,0,1,-3,4,NA,20,0,0,0,11,2,-3,2,0,1,1,1,4,2,0,0,7,5,5,-4,1,0,-3,1,0,0,-1,0,-1,0,12,2,2,19,4,8,3,0,18,1,7,1,3,2,1,1,4,1,-1,0,-1,1,-2,1,-3,5,8,0,0,-1,1,-7,2,-1,24,0,1,0,7,2,12,-3,2,6,5,-11,0,-1,0,1,7,9,0,2,1,-3,4,1,7,0,1,-3,0,-5,5,-1,0,0,1,4,-4,4,-5,6,0,-1,6,9,-2,2,-1,11,16,3,-1,3,5,0,-1,0,1,8,-3,0,0,-3,0,0,-2,3,9,4,4,2
"8",1,-11,10,4,-25,2,-20,NA,1,0,2,-9,-8,-3,-6,-15,2,5,-1,-3,0,2,-5,10,-4,-1,-33,7,0,-7,2,0,0,3,1,-7,1,0,-20,-13,8,-3,2,-1,0,0,-2,-13,1,-2,1,-3,-3,9,4,-6,1,0,1,13,2,-1,-5,-9,-1,3,11,-2,-8,-4,-2,-20,1,1,3,-1,2,8,-14,-7,-4,-4,8,1,0,0,0,-29,-3,-1,-3,3,5,-1,9,5,0,-11,-7,0,-19,-14,-6,-8,0,2,5,-11,8,-19,0,-22,0,4,11,-3,6,-39,3,6,-1,-2,0,-8,3,5,-4,0,-7,-7,0,-6,-2,-2,-2,1,3,-41,-14,6,0
"9",0,-1,1,-4,-1,-2,0,-1,NA,0,0,4,2,0,1,-2,0,0,1,0,-2,2,0,0,-8,0,-6,2,0,0,0,0,0,0,1,-1,0,3,2,2,-3,0,-2,0,1,-3,-1,-6,0,1,-1,0,1,-3,0,0,0,-1,1,4,1,2,0,-1,0,1,-2,0,-1,1,-1,-4,-1,0,0,0,0,1,-2,-1,-1,1,-2,0,0,0,0,-10,-4,0,0,1,2,0,1,2,0,-2,1,0,0,1,3,0,0,0,-1,0,0,1,-1,-8,-1,0,-1,-1,-1,0,-1,5,0,0,5,0,0,0,1,0,-1,-1,0,-5,0,0,0,-1,-3,-1,0,3,0
