"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","48","50","51","53","54","55","56","57","58","59","60","61","62","63","64","67","68","69","72","74","75","76","77","78","79","80","81","82","83","84","85","86","89","90","91","92","96","98","99","101","102","103","104","105","106","107","110","111","112","113","114","115","117","119","120","121","122","126","127","131","133","134","136","141","142","143","145","150","154","157","161","163","164","201","202","203","222","223","236","238","240","245","254","266","267","268","412","420","421","427","429","432","497","498","516","555"
"1",NA,2,0,0,7,0,0,8,0,0,1,8,6,3,0,6,0,1,0,0,0,2,0,3,5,1,2,0,0,0,0,0,0,0,1,2,0,0,4,2,2,0,6,0,0,2,1,5,1,0,2,0,0,0,0,1,0,0,0,4,1,1,0,2,0,0,0,0,1,1,0,14,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,8,4,0,0,0,0,0,2,1,2,1,5,1,0,0,0,1,8,3,6,0,0,1,2,0,0,3,0,3,1,0,3,1,2,0,0,0,5,5,2,0
"2",2,NA,26,25,87,6,74,137,13,0,1,181,108,84,13,86,1,47,0,3,4,20,7,92,161,10,91,15,1,21,17,0,1,12,3,47,0,33,127,60,122,11,126,17,6,64,61,167,18,16,20,8,5,31,17,6,10,0,7,54,21,18,62,39,0,7,35,3,30,6,3,324,1,1,3,19,4,24,28,32,9,42,36,3,3,3,8,50,55,1,5,49,13,5,22,67,5,53,18,0,66,44,16,20,0,1,14,43,11,122,15,126,40,24,40,11,49,197,78,148,4,15,110,20,7,6,21,0,32,12,26,74,8,19,3,15,12,157,147,36,5
"3",0,26,NA,2,41,2,12,42,6,0,1,55,18,20,3,24,0,21,1,0,5,6,1,26,49,4,22,9,0,3,5,0,0,3,2,12,0,5,31,23,37,5,39,6,1,24,18,59,2,7,6,5,1,9,10,1,3,0,0,29,7,6,14,13,1,3,14,0,13,3,1,104,0,0,0,8,3,11,2,5,6,9,8,2,0,1,3,54,10,0,1,17,6,0,22,34,0,12,5,0,47,15,6,3,0,1,3,4,8,15,8,51,13,23,18,0,15,95,29,54,2,2,41,8,1,0,3,0,9,5,2,30,4,10,0,2,2,48,45,20,0
"4",0,25,2,NA,64,7,19,39,9,0,0,59,25,18,7,29,0,20,0,1,2,8,4,43,71,2,42,9,1,2,10,0,0,2,1,24,0,6,43,34,45,2,45,6,1,24,12,55,2,3,3,7,2,9,7,4,0,1,1,53,6,8,4,14,0,4,21,0,8,2,4,148,0,1,1,12,2,13,5,15,4,15,18,1,1,1,0,78,18,1,4,4,6,1,5,25,1,21,8,1,44,28,8,3,0,0,1,3,6,21,8,49,7,8,18,5,14,88,31,54,4,7,37,13,0,0,5,1,13,9,2,20,3,19,3,7,5,68,61,20,4
"5",7,87,41,64,NA,16,200,425,42,0,7,438,225,114,39,180,4,106,6,12,13,43,13,244,375,20,265,37,3,55,46,1,0,22,2,157,1,74,351,140,195,11,315,16,11,144,79,330,36,36,32,33,9,91,9,5,17,1,17,156,41,39,91,67,2,18,47,4,84,8,15,810,1,1,6,61,11,71,65,106,32,124,79,3,6,2,17,264,139,3,14,51,49,5,19,97,3,200,45,0,141,116,49,60,2,2,22,64,19,295,36,354,49,20,152,18,93,476,190,309,8,20,224,66,14,19,57,1,89,38,11,159,11,63,15,22,28,368,361,89,10
"6",0,6,2,7,16,NA,12,25,2,0,1,15,14,6,1,12,0,7,0,2,1,0,0,7,29,0,10,5,0,2,1,0,0,1,2,1,0,2,10,9,10,0,11,1,0,8,1,22,3,0,1,2,2,5,3,4,1,0,0,7,0,1,3,9,0,1,12,0,1,0,1,47,0,0,0,1,0,4,3,6,1,7,1,1,1,0,2,25,6,0,0,1,1,1,1,1,1,12,2,0,10,1,4,2,0,0,4,4,2,10,3,19,0,5,6,1,4,23,8,15,1,0,9,8,0,1,2,0,7,2,3,10,0,2,0,2,1,19,13,4,1
"7",0,74,12,19,200,12,NA,169,11,1,3,226,59,78,19,107,1,47,3,11,6,16,4,112,184,8,127,35,6,21,22,2,1,3,8,71,1,60,179,69,123,4,142,8,0,97,27,172,18,19,6,20,6,40,10,14,4,1,10,182,22,16,15,53,0,6,78,2,36,5,2,438,0,3,3,38,3,41,15,22,21,54,53,1,1,2,3,193,31,1,15,29,20,4,17,46,0,47,30,0,177,64,33,33,0,2,4,26,26,113,25,175,34,30,39,3,24,274,91,180,6,8,113,37,8,10,8,1,42,19,2,101,15,46,7,17,17,204,201,69,3
"8",8,137,42,39,425,25,169,NA,38,0,11,461,178,116,40,220,2,113,6,22,8,48,12,220,401,15,229,71,6,49,41,0,3,9,10,157,1,63,378,150,258,7,344,28,4,184,74,322,32,31,30,53,8,66,30,15,8,2,11,278,50,47,87,126,1,10,152,5,67,15,12,868,2,3,8,55,15,64,47,119,11,132,77,3,4,3,8,439,116,4,13,62,37,5,40,91,2,143,39,1,326,137,71,44,0,4,12,55,51,227,29,358,57,50,85,8,66,500,208,375,24,18,243,69,16,17,44,2,69,27,11,170,13,101,22,28,26,436,402,96,6
"9",0,13,6,9,42,2,11,38,NA,0,0,15,25,8,2,10,0,6,1,0,3,4,0,16,38,0,27,2,0,3,0,0,0,2,2,13,0,7,35,6,14,0,21,0,1,19,1,31,2,2,6,6,2,10,2,0,0,1,1,23,3,3,4,9,0,2,7,0,5,2,2,84,1,0,0,4,1,1,5,8,2,6,5,0,1,0,0,39,12,0,2,6,3,1,2,8,0,18,5,0,29,8,6,4,0,0,1,8,1,29,3,29,5,2,11,3,4,38,2,26,0,1,8,5,0,0,5,0,8,2,0,9,4,14,0,2,3,13,22,9,0
