name,champ,cs,kda,kill,death,assist,winratio,play
tjudlsawqz,Varus,CS 241.1 (9.5),3.26:1,7.4,4.1,5.9,58%,52
tjudlsawqz,Xayah,CS 228.1 (9.1),2.49:1,5.5,4.4,5.4,56%,50
tjudlsawqz,Ezreal,CS 215.4 (9.0),2.87:1,5.4,3.9,5.8,53%,40
tjudlsawqz,Lucian,CS 215.7 (8.9),2.40:1,6.5,5.2,6.1,48%,40
DontRemakeAatrox,Aatrox,CS 199.7 (8.1),2.97:1,5.3,3.5,5.0,65%,284
DontRemakeAatrox,Camille,CS 180.3 (7.3),2.14:1,5.1,4.5,4.7,55%,85
DontRemakeAatrox,Jax,CS 214.8 (8.2),1.98:1,4.8,4.5,4.1,65%,37
DontRemakeAatrox,Sion,CS 170.3 (7.0),2.35:1,2.8,3.9,6.4,41%,29
DontRemakeAatrox,Darius,CS 194.0 (7.8),2.34:1,5.9,4.6,4.8,56%,16
DontRemakeAatrox,Alistar,CS 47.6 (2.0),2.19:1,1.5,4.9,9.3,57%,14
DontRemakeAatrox,Tahm Kench,CS 62.8 (2.4),3.10:1,1.7,4.5,12.1,64%,11
Hideonbush,Azir,CS 251.7 (9.4),2.97:1,4.8,3.4,5.4,58%,114
Hideonbush,Yasuo,CS 223.7 (8.7),2.23:1,5.2,4.5,4.8,59%,111
Hideonbush,Irelia,CS 233.3 (9.0),2.82:1,7.6,4.5,5.0,63%,98
Hideonbush,Zoe,CS 219.0 (8.1),2.93:1,6.1,4.2,6.2,53%,83
Hideonbush,Vladimir,CS 218.3 (8.3),2.30:1,5.4,4.6,5.2,35%,81
Hideonbush,Swain,CS 232.8 (8.6),3.62:1,6.0,3.6,7.1,48%,62
Hideonbush,LeBlanc,CS 227.5 (8.1),3.86:1,7.6,3.5,6.1,59%,51
아이거또어우,Morgana,CS 17.9 (0.8),2.94:1,2.4,4.6,11.1,63%,90
아이거또어우,Alistar,CS 39.4 (1.6),2.92:1,2.3,4.7,11.5,59%,81
아이거또어우,Rakan,CS 14.1 (0.6),2.71:1,1.9,4.7,10.8,58%,66
아이거또어우,Pyke,CS 46.8 (1.8),2.86:1,5.1,5.6,10.8,53%,57
아이거또어우,Tahm Kench,CS 47.3 (1.9),2.39:1,2.1,4.6,9.0,48%,50
아이거또어우,Gragas,CS 36.8 (1.4),3.09:1,3.7,5.4,13.1,61%,28
아이거또어우,Karma,CS 46.8 (1.8),2.55:1,3.0,5.3,10.4,40%,25
KZCuzz,Camille,CS 139.3 (5.4),2.91:1,6.8,4.9,7.6,58%,118
