accountId,champId,avg_cs,avg_kda,avg_kill,avg_death,avg_assist,winratio,play_num
6341504,5,5.6,2.73,6.1,4.7,6.7,50,129
6341504,59,5.6,3.47,4.2,3.7,8.6,50,107
6341504,31,7.6,2.24,4.1,4.1,5.1,59,100
6341504,164,5.5,2.29,5.6,4.9,5.7,49,94
3706811,223,2.2,3.29,1.9,3.7,10.1,64,85
3706811,44,2.2,3.94,1.4,3.1,10.7,57,70
3706811,16,0.5,3.83,1.3,3.3,11.3,66,56
3706811,497,0.5,3.86,1.6,3.5,11.9,55,47
3706811,8,8.3,2.47,4.3,3.8,5.1,51,47
3706811,12,1.8,3.13,1.9,3.8,9.9,53,38
3706811,201,2.2,3.39,1.4,3.4,10.1,46,37
209682437,201,2,3.1,1,4.1,11.7,55,75
209682437,25,0.8,4.16,2.5,3.7,13.1,72,50
209682437,223,2,2.69,1.9,4.5,10.2,58,48
209682437,412,1.1,3.15,1.7,4.2,11.5,64,45
209682437,12,1.6,2.72,1.8,4.8,11.2,54,39
209682437,44,2.3,3.07,1.7,4.8,13,50,38
209682437,98,2.2,3.99,2.8,4.5,15.1,64,25
377501,5,5.5,3.26,5.8,4.1,7.6,75,59
377501,121,5.2,3.06,6.8,3.8,4.8,64,44
377501,141,5.8,2.72,6.1,4.8,6.9,48,27
377501,104,6.3,2.62,6.6,5.3,7.3,42,19
377501,164,5.1,3.23,6.6,4.8,8.8,76,17
377501,76,6.1,2.64,4.6,4,5.9,43,14
377501,68,7.3,3.81,3.8,2.9,7.2,78,9
209084978,76,5.9,4.43,6.6,3,6.5,60,284
209084978,154,4.4,4.61,3.7,2.9,9.7,43,74
209084978,121,4.9,3.73,7.4,3.8,6.7,52,63
209084978,59,4.8,4.36,4.5,3.3,9.7,53,59
209084978,89,1.9,4.69,1.9,2.9,11.8,70,43
209084978,113,4.8,4.15,3.9,3.2,9.2,46,39
209084978,164,5.5,3.8,8.1,3.8,6.1,56,32
208670326,81,9.1,4.03,6,3.2,6.9,65,95
208670326,145,9.2,3.12,7.8,4.3,5.6,48,42
208670326,498,9.3,3.63,5.9,3.5,6.8,62,39
208670326,18,9.9,4.23,6.7,2.9,5.5,53,38
208670326,51,9.3,3.08,4.8,3.7,6.6,56,36
208670326,202,8.4,2.73,5.2,4.6,7.4,46,35
