name,champ,cs,kda,kill,death,assist,winratio,play
chirchri,Ryze,CS 203.3 (8.7),3.15:1,6.2,3.7,5.5,74%,27
chirchri,LeBlanc,CS 185.0 (6.9),3.86:1,7.6,3.6,6.4,72%,25
chirchri,Vladimir,CS 176.4 (7.7),1.81:1,4.0,4.2,3.6,59%,17
chirchri,Karma,CS 51.7 (2.5),3.35:1,2.7,3.4,8.9,67%,9
chirchri,Jhin,CS 162.9 (7.7),2.10:1,3.6,3.8,4.3,50%,8
잘자좋은꿈꿔,Zoe,CS 211.5 (8.6),5.29:1,7.9,2.6,5.7,75%,88
잘자좋은꿈꿔,Syndra,CS 250.3 (9.7),4.67:1,9.4,3.1,5.1,84%,62
잘자좋은꿈꿔,Lulu,CS 143.4 (6.2),5.93:1,3.0,2.0,8.9,67%,15
잘자좋은꿈꿔,LeBlanc,CS 188.4 (8.1),7.46:1,11.1,2.2,5.1,100%,12
잘자좋은꿈꿔,Kassadin,CS 262.3 (8.7),6.00:1,10.4,2.6,5.4,75%,8
잘자좋은꿈꿔,Ezreal,CS 213.5 (9.2),4.80:1,7.1,2.5,4.9,75%,8
잘자좋은꿈꿔,Cassiopeia,CS 251.1 (8.8),3.72:1,9.0,4.6,8.0,71%,7
지현이의빗자루,Camille,CS 186.0 (7.2),2.29:1,6.0,4.8,5.1,61%,157
지현이의빗자루,Gnar,CS 198.2 (7.7),2.16:1,4.2,4.3,5.2,54%,127
지현이의빗자루,Vladimir,CS 226.2 (8.1),2.09:1,5.2,4.9,5.0,56%,79
지현이의빗자루,Sion,CS 184.8 (7.2),3.26:1,3.5,3.2,6.9,59%,61
지현이의빗자루,Gangplank,CS 229.7 (8.5),2.23:1,4.3,4.5,5.8,46%,57
지현이의빗자루,Irelia,CS 198.5 (8.1),2.54:1,6.6,4.3,4.4,61%,31
지현이의빗자루,Fiora,CS 201.2 (7.8),1.50:1,4.2,5.5,4.0,28%,29
숙련자3,Nautilus,CS 53.3 (2.1),4.16:1,2.3,3.2,11.1,63%,281
숙련자3,Braum,CS 53.0 (1.8),4.10:1,1.3,3.7,13.7,52%,21
숙련자3,Tahm Kench,CS 66.8 (2.3),4.19:1,2.2,3.6,12.8,58%,12
숙련자3,Taric,CS 54.1 (2.0),3.02:1,1.8,3.8,9.6,42%,12
숙련자3,Leona,CS 39.7 (1.8),4.26:1,2.6,4.4,16.3,71%,7
숙련자3,Orianna,CS 189.2 (7.7),2.27:1,4.2,5.2,7.6,40%,5
숙련자3,Lux,CS 10.0 (0.5),3.67:1,1.0,3.0,10.0,100%,1
gunwu,Ryze,CS 207.9 (8.7),2.57:1,5.3,4.1,5.3,53%,53
gunwu,Sion,CS 181.4 (7.0),2.64:1,3.2,4.0,7.4,58%,45
gunwu,Karma,CS 176.6 (7.4),3.39:1,3.4,3.8,9.3,59%,44
gunwu,Taliyah,CS 205.6 (8.0),2.60:1,6.2,5.5,8.1,60%,40
gunwu,Ezreal,CS 206.1 (7.9),2.57:1,5.6,4.7,6.6,50%,38
gunwu,Alistar,CS 45.3 (1.8),3.24:1,1.8,4.1,11.5,63%,30
gunwu,Galio,CS 184.7 (7.8),3.03:1,3.3,3.7,7.8,58%,26
